,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%,OPS%,OCT,OSA,OSV
87,E. Rall,0.0,0.0,0.0,0.0,1.0,0.5,1.5,4.0,2.5,17.0,3.0,7.0,8.0,14.0,13.5,46.9,46.15,7.0,16.0,13.0
147,J. Trainor,2.0,0.5,0.0,0.0,1.5,1.0,2.5,9.5,8.0,17.0,3.0,8.0,8.0,14.0,12.0,47.2,48.85,7.0,12.0,13.25
177,M. Campbell,0.0,1.25,1.0,0.5,5.25,4.0,1.25,27.0,21.25,17.0,3.0,7.0,8.0,12.0,13.25,48.85,46.4,7.666666666666667,15.0,13.0
188,M. Holman,4.0,1.75,0.25,0.5,8.0,5.75,2.5,41.0,31.0,17.0,3.0,7.0,8.0,12.0,13.25,48.85,47.2,8.0,14.0,12.0
197,M. Kavanagh,1.0,0.6666666666666666,0.0,0.0,4.666666666666667,2.6666666666666665,1.3333333333333333,25.666666666666668,20.0,17.0,3.0,6.0,8.0,13.0,14.0,48.93333333333334,47.9,7.0,12.5,12.5
251,R. Drenner,0.0,1.0,0.5,0.25,4.5,2.5,1.0,23.75,19.0,17.0,3.0,7.0,8.0,12.0,13.25,48.85,46.4,7.666666666666667,15.0,13.0
323,Z. Tucci,0.0,0.6666666666666666,0.3333333333333333,0.0,2.3333333333333335,1.6666666666666667,7.0,6.666666666666667,3.6666666666666665,17.0,3.0,7.333333333333333,8.0,9.666666666666666,13.333333333333334,49.86666666666667,46.4,7.666666666666667,15.0,13.0
34,C. Bertrand,1.0,1.0,0.0,0.6666666666666666,5.333333333333333,4.0,1.0,20.0,13.666666666666666,17.0,8.0,7.666666666666667,3.0,15.0,13.0,46.4,49.86666666666667,7.333333333333333,9.666666666666666,13.333333333333334
46,C. Gray,3.0,1.0,0.0,1.0,3.5,2.5,1.5,19.0,13.5,17.0,8.0,9.0,3.0,16.5,13.5,45.15,50.5,6.0,10.0,14.5
102,G. Degnon,0.0,1.0,0.3333333333333333,0.3333333333333333,4.0,3.0,0.6666666666666666,18.0,13.0,17.0,8.0,7.666666666666667,3.0,15.0,13.0,46.4,48.85,7.0,12.0,13.25
123,J. Conners,1.0,0.0,0.0,0.0,1.5,0.5,3.0,8.0,5.5,17.0,8.0,9.0,3.0,16.5,13.5,45.15,53.0,4.0,11.0,15.0
223,N. Montgomery,0.0,0.0,0.0,0.0,3.0,2.0,1.0,17.0,12.0,17.0,8.0,7.0,3.0,16.0,13.0,46.15,46.9,7.0,14.0,13.5
247,R. Dennis,0.0,0.0,1.0,0.0,5.5,2.0,0.5,15.0,9.5,17.0,8.0,7.0,3.0,12.5,12.5,47.9,48.93333333333334,6.0,13.0,14.0
255,R. Garnsey,2.0,1.0,0.3333333333333333,2.0,7.333333333333333,3.6666666666666665,0.3333333333333333,34.333333333333336,24.0,17.0,8.0,7.666666666666667,3.0,15.0,13.0,46.4,48.85,7.0,12.0,13.25
262,R. Pannell,3.0,1.3333333333333333,0.0,1.0,7.333333333333333,4.0,2.0,39.333333333333336,30.0,17.0,8.0,7.666666666666667,3.0,15.0,13.0,46.4,47.2,8.0,14.0,12.0
309,W. Berg,2.0,2.0,0.0,0.3333333333333333,2.6666666666666665,2.0,0.6666666666666666,15.0,11.333333333333334,17.0,8.0,7.666666666666667,3.0,15.0,13.0,46.4,48.85,7.0,12.0,13.25
13,B. Costabile,4.0,1.0,0.0,0.5,5.5,3.0,0.5,22.0,16.0,18.0,4.0,6.25,6.0,14.0,14.25,43.05,49.133333333333326,6.333333333333333,13.666666666666666,10.333333333333334
18,B. Makar,1.0,0.0,0.0,0.5,0.5,0.0,1.0,10.0,9.0,18.0,4.0,10.0,6.0,13.5,12.0,49.900000000000006,48.75,5.5,10.0,12.5
65,C. Shellenberger,3.0,2.5,0.0,2.5,4.5,3.5,3.0,37.5,32.0,18.0,4.0,8.0,6.0,13.75,12.75,46.05,49.133333333333326,6.333333333333333,13.666666666666666,10.333333333333334
77,D. Aitken,2.0,1.8,0.0,0.0,5.6,3.8,2.0,26.2,19.2,18.0,4.0,7.0,6.0,13.6,13.0,45.46,47.2,6.0,8.0,11.0
140,J. Stevens,1.0,2.0,0.0,0.0,5.0,3.0,1.0,9.0,4.0,18.0,4.0,9.0,6.0,16.0,14.0,37.7,49.133333333333326,6.333333333333333,13.666666666666666,10.333333333333334
145,J. Teat,9.0,2.8,0.0,4.2,7.6,5.4,1.8,45.0,34.8,18.0,4.0,7.0,6.0,13.6,13.0,45.46,48.25,5.0,12.5,13.0
