,P,1G,2G,A,SH,SH%,SOG,GB,TO,TCH,PAS,GID,TID
11,1,1,0,0,3,33.30%,1,0,0,8,5,6,6
Young profile,,,,,,,,,,,,,6
D. Young,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
52,1,1,0,0,2,50%,1,11,1,14,11,6,6
Wierman profile,,,,,,,,,,,,,6
L. Wierman,,,,,,,,,,,,,6
FO,,,,,,,,,,,,,6
22,1,0,0,1,1,0%,1,0,1,12,10,6,6
Ferrara profile,,,,,,,,,,,,,6
C. Ferrara,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
0,0,0,0,0,1,0%,0,5,1,9,7,6,6
Messenger profile,,,,,,,,,,,,,6
M. Messenger,,,,,,,,,,,,,6
SSDM,,,,,,,,,,,,,6
88,0,0,0,0,2,0%,2,2,1,11,8,6,6
Piseno profile,,,,,,,,,,,,,
J. Piseno,,,,,,,,,,,,,
LSM,,,,,,,,,,,,,
,,,,,,,,,,,,,
10,4,4,0,0,6,66.70%,5,2,0,29,23,7,4
Dickson profile,,,,,,,,,,,,,4
X. Dickson,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
7,4,1,0,3,9,11.10%,6,3,4,48,35,7,4
Teat profile,,,,,,,,,,,,,4
J. Teat,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
1,3,2,0,1,5,40%,2,4,0,37,32,7,4
Shellenberger profile,,,,,,,,,,,,,4
C. Shellenberger,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
8,3,1,1,0,6,33.30%,4,4,2,31,23,7,4
Jones profile,,,,,,,,,,,,,4
M. Jones,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
6,2,2,0,0,8,25%,3,1,1,32,23,7,4
Aitken profile,,,,,,,,,,,,,4
D. Aitken,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
5,2,0,1,0,2,50%,2,9,0,12,10,7,4
Carpenter profile,,,,,,,,,,,,,4
T. Carpenter,,,,,,,,,,,,,4
LSM,,,,,,,,,,,,,4
4,1,1,0,0,3,33.30%,2,0,0,3,0,7,4
Molloy profile,,,,,,,,,,,,,4
D. Molloy,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
9,1,0,0,1,2,0%,1,12,1,15,12,7,4
Baptiste profile,,,,,,,,,,,,,4
T. Baptiste,,,,,,,,,,,,,4
FO,,,,,,,,,,,,,4
88,1,0,0,1,3,0%,1,0,0,15,12,7,4
Jacoby profile,,,,,,,,,,,,,4
R. Jacoby,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
57,0,0,0,0,1,0%,1,3,1,12,10,7,4
Comizio profile,,,,,,,,,,,,,4
C. Comizio,,,,,,,,,,,,,4
SSDM,,,,,,,,,,,,,4
42,0,0,0,0,1,0%,1,3,0,16,15,7,4
Troutner profile,,,,,,,,,,,,,4
T. Troutner,,,,,,,,,,,,,4
G,,,,,,,,,,,,,4
43,0,0,0,0,1,0%,0,1,0,8,7,7,4
Makar profile,,,,,,,,,,,,,4
B. Makar,,,,,,,,,,,,,4
D,,,,,,,,,,,,,4
98,0,0,0,0,2,0%,1,1,1,6,3,7,4
Bowering profile,,,,,,,,,,,,,
R. Bowering,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
22,4,0,0,4,1,0%,0,0,0,24,23,7,5
Byrne profile,,,,,,,,,,,,,5
