,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%
33,D. Aitken,1.8333333333333333,1.6666666666666667,0.0,0.16666666666666666,5.166666666666667,3.3333333333333335,1.8333333333333333,26.5,19.833333333333332,9.166666666666666,4.0,6.5,6.0,12.0,13.166666666666666,46.083333333333336
34,D. Gergar,1.0,1.0,0.0,0.0,6.0,3.0,1.5,13.0,6.5,16.5,6.0,7.5,6.0,12.5,10.0,45.1
35,D. Logan,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0,1.3333333333333333,1.0,9.666666666666666,7.666666666666667,8.666666666666666,4.0,7.333333333333333,6.0,14.333333333333334,14.333333333333334,43.03333333333334
36,D. Molloy,2.0,1.3333333333333333,0.0,0.6666666666666666,3.3333333333333335,2.3333333333333335,0.6666666666666666,14.0,10.0,7.333333333333333,4.0,7.666666666666667,6.666666666666667,13.333333333333334,12.666666666666666,47.63333333333333
37,D. Williams,1.0,1.0,0.0,0.0,2.0,2.0,0.0,6.0,3.0,19.0,1.0,6.0,7.0,11.0,15.0,47.9
38,D. Young,1.0,0.3333333333333333,0.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.3333333333333333,10.0,6.666666666666667,13.0,6.0,6.333333333333333,4.333333333333333,14.0,11.666666666666666,46.5
39,E. Dobson,1.5,1.5,0.0,0.0,3.5,2.5,0.5,19.0,14.0,13.0,5.0,6.5,1.5,9.5,11.0,46.0
40,E. Rall,0.25,0.0,0.0,0.25,0.75,0.5,2.5,5.5,4.5,11.75,3.0,6.5,5.25,11.75,13.0,46.474999999999994
41,E. Walker,0.8,0.4,0.0,0.4,3.0,1.8,1.2,31.0,27.4,11.6,2.0,9.4,3.8,11.8,12.8,45.28
42,G. Ament,3.2,1.8,0.0,1.4,4.2,2.4,0.4,26.0,20.6,10.0,1.0,6.0,4.6,12.2,15.4,45.8
43,G. Bundy,1.75,1.0,0.25,0.25,7.0,3.0,0.5,21.75,13.75,10.5,6.0,7.0,4.5,14.5,10.0,47.6
44,G. Degnon,1.5,0.75,0.25,0.25,3.75,2.25,0.75,17.5,13.0,12.0,8.0,7.5,4.5,13.0,13.0,46.225
45,G. Leadmon,0.6666666666666666,0.0,0.3333333333333333,0.0,4.333333333333333,2.3333333333333335,0.3333333333333333,18.666666666666668,12.666666666666666,8.0,7.0,6.666666666666667,3.0,14.666666666666666,12.0,48.93333333333334
46,I. Davis-Allen,0.5,0.0,0.0,0.5,0.5,0.5,1.5,4.5,4.0,8.0,8.0,7.0,4.5,16.0,13.0,46.15
47,I. MacKay,1.0,1.0,0.0,0.0,2.0,1.75,1.0,9.0,7.0,8.5,5.0,5.5,4.25,10.25,13.5,44.95
